      0.00  -1280.625705  -1280.482305  -1280.461513  -1280.458162  -1280.482305  -1280.304440
      0.50  -1280.627345  -1280.484786  -1280.463078  -1280.459952  -1280.484786  -1280.304445
      1.00  -1280.628986  -1280.487407  -1280.464860  -1280.462108  -1280.487407  -1280.304494
      1.50  -1280.630222  -1280.489734  -1280.466496  -1280.464177  -1280.489734  -1280.304498
      2.00  -1280.631605  -1280.492267  -1280.468563  -1280.466463  -1280.492267  -1280.304401
      2.50  -1280.635206  -1280.497010  -1280.473116  -1280.470977  -1280.497010  -1280.304330
      3.00  -1280.642598  -1280.505452  -1280.481676  -1280.479282  -1280.505452  -1280.304509
      3.50  -1280.651863  -1280.515595  -1280.492279  -1280.489441  -1280.515595  -1280.304866
      4.00  -1280.658573  -1280.522956  -1280.500470  -1280.497021  -1280.522956  -1280.305074
      4.50  -1280.660182  -1280.524951  -1280.503672  -1280.499463  -1280.524951  -1280.305021
      5.00  -1280.657750  -1280.522633  -1280.502892  -1280.497779  -1280.522633  -1280.304840
      5.50  -1280.654257  -1280.518999  -1280.501032  -1280.494869  -1280.518999  -1280.304664
      6.00  -1280.652482  -1280.516857  -1280.500786  -1280.493471  -1280.516857  -1280.304613
      6.50  -1280.653149  -1280.516956  -1280.502799  -1280.494313  -1280.516956  -1280.304734
      7.00  -1280.654320  -1280.517384  -1280.505076  -1280.495493  -1280.517384  -1280.304917
      7.50  -1280.653064  -1280.515245  -1280.504644  -1280.494118  -1280.515245  -1280.304958
      8.00  -1280.648425  -1280.509637  -1280.500504  -1280.489252  -1280.509637  -1280.304757
      8.50  -1280.642684  -1280.502917  -1280.494908  -1280.483186  -1280.502917  -1280.304516
      9.00  -1280.638653  -1280.497983  -1280.490667  -1280.478803  -1280.497983  -1280.304467
      9.50  -1280.636629  -1280.495198  -1280.488134  -1280.476637  -1280.495198  -1280.304541
     10.00  -1280.635189  -1280.493171  -1280.485994  -1280.475211  -1280.485994  -1280.304565
     10.50  -1280.633803  -1280.491345  -1280.483853  -1280.473857  -1280.483853  -1280.304513
     11.00  -1280.632972  -1280.490124  -1280.482303  -1280.473002  -1280.482303  -1280.304469
     11.50  -1280.633070  -1280.489838  -1280.481806  -1280.473018  -1280.481806  -1280.304481
     12.00  -1280.633941  -1280.490301  -1280.482249  -1280.473737  -1280.482249  -1280.304529
     12.50  -1280.635207  -1280.491120  -1280.483260  -1280.474758  -1280.483260  -1280.304541
     13.00  -1280.637233  -1280.492661  -1280.485172  -1280.476411  -1280.485172  -1280.304498
     13.50  -1280.641201  -1280.496129  -1280.489088  -1280.479851  -1280.489088  -1280.304540
     14.00  -1280.647097  -1280.501578  -1280.494888  -1280.485078  -1280.494888  -1280.304797
     14.50  -1280.652120  -1280.506303  -1280.499671  -1280.489382  -1280.499671  -1280.305081
     15.00  -1280.653174  -1280.507274  -1280.500300  -1280.489887  -1280.500300  -1280.305123
     15.50  -1280.650371  -1280.504593  -1280.496934  -1280.487075  -1280.496934  -1280.305000
     16.00  -1280.646199  -1280.500687  -1280.492140  -1280.483392  -1280.492140  -1280.304918
     16.50  -1280.642750  -1280.497573  -1280.488069  -1280.480539  -1280.488069  -1280.304887
     17.00  -1280.641131  -1280.496281  -1280.485841  -1280.479436  -1280.485841  -1280.304901
     17.50  -1280.641273  -1280.496668  -1280.485374  -1280.479949  -1280.485374  -1280.305037
     18.00  -1280.641050  -1280.496546  -1280.484521  -1280.479930  -1280.484521  -1280.305216
     18.50  -1280.637568  -1280.492992  -1280.480376  -1280.476484  -1280.480376  -1280.305184
     19.00  -1280.630614  -1280.485808  -1280.472736  -1280.469398  -1280.472736  -1280.304893
     19.50  -1280.623278  -1280.478135  -1280.464719  -1280.461765  -1280.464719  -1280.304624
     20.00  -1280.618359  -1280.472838  -1280.459160  -1280.456404  -1280.459160  -1280.304561
     20.50  -1280.615929  -1280.470048  -1280.456174  -1280.453423  -1280.456174  -1280.304579
     21.00  -1280.614926  -1280.468753  -1280.454736  -1280.451806  -1280.454736  -1280.304535
     21.50  -1280.615235  -1280.468882  -1280.454760  -1280.451478  -1280.454760  -1280.304445
     22.00  -1280.617624  -1280.471239  -1280.457038  -1280.453233  -1280.457038  -1280.304396
     22.50  -1280.622526  -1280.476288  -1280.462023  -1280.457523  -1280.462023  -1280.304442
     23.00  -1280.629290  -1280.483393  -1280.469074  -1280.463711  -1280.469074  -1280.304558
     23.50  -1280.636563  -1280.491197  -1280.476831  -1280.470476  -1280.476831  -1280.304650
     24.00  -1280.643580  -1280.498899  -1280.484496  -1280.477115  -1280.484496  -1280.304658
     24.50  -1280.650832  -1280.506930  -1280.492513  -1280.484253  -1280.492513  -1280.304684
     25.00  -1280.658463  -1280.515366  -1280.500983  -1280.492095  -1280.500983  -1280.304883
     25.50  -1280.664351  -1280.522044  -1280.507766  -1280.498385  -1280.507766  -1280.305096
     26.00  -1280.666171  -1280.524631  -1280.510551  -1280.500675  -1280.510551  -1280.305050
     26.50  -1280.664816  -1280.524027  -1280.510256  -1280.499802  -1280.510256  -1280.304863
     27.00  -1280.662866  -1280.522822  -1280.509463  -1280.498315  -1280.509463  -1280.304835
     27.50  -1280.660775  -1280.521468  -1280.508608  -1280.496648  -1280.508608  -1280.304926
     28.00  -1280.657189  -1280.518606  -1280.506288  -1280.493432  -1280.506288  -1280.304946
     28.50  -1280.651297  -1280.513425  -1280.501653  -1280.487867  -1280.501653  -1280.304923
     29.00  -1280.642877  -1280.505700  -1280.494441  -1280.479777  -1280.494441  -1280.304887
     29.50  -1280.632086  -1280.495594  -1280.484781  -1280.469406  -1280.484781  -1280.304725
     30.00  -1280.620752  -1280.484940  -1280.474481  -1280.458606  -1280.474481  -1280.304483
     30.50  -1280.611639  -1280.476512  -1280.466294  -1280.450078  -1280.466294  -1280.304382
     31.00  -1280.605646  -1280.471227  -1280.461120  -1280.444667  -1280.461120  -1280.304435
     31.50  -1280.601585  -1280.467911  -1280.457787  -1280.441147  -1280.457787  -1280.304462
     32.00  -1280.598546  -1280.465673  -1280.455412  -1280.438579  -1280.455412  -1280.304383
     32.50  -1280.597135  -1280.465142  -1280.454634  -1280.437546  -1280.454634  -1280.304267
     33.00  -1280.598649  -1280.467636  -1280.456786  -1280.439326  -1280.456786  -1280.304208
     33.50  -1280.603736  -1280.473815  -1280.462536  -1280.444556  -1280.462536  -1280.304250
     34.00  -1280.611755  -1280.483035  -1280.471251  -1280.452590  -1280.471251  -1280.304369
