      0.00  -1280.478225  -1280.342330  -1280.325526  -1280.317926  -1280.314600  -1280.312241  -1280.310073  -1280.310073  -1280.115580
      0.50  -1280.451874  -1280.317513  -1280.300854  -1280.292699  -1280.289750  -1280.286451  -1280.284265  -1280.284265  -1280.115012
      1.00  -1280.429646  -1280.296596  -1280.280210  -1280.271335  -1280.268867  -1280.264695  -1280.263897  -1280.263897  -1280.114995
      1.50  -1280.418464  -1280.286505  -1280.270375  -1280.260977  -1280.258673  -1280.254508  -1280.253705  -1280.254508  -1280.114485
      2.00  -1280.423631  -1280.292503  -1280.276281  -1280.266750  -1280.264307  -1280.260361  -1280.258936  -1280.260361  -1280.114642
      2.50  -1280.442384  -1280.311832  -1280.295112  -1280.285947  -1280.282942  -1280.279255  -1280.277492  -1280.279255  -1280.115021
      3.00  -1280.468935  -1280.338707  -1280.321161  -1280.312914  -1280.308637  -1280.305461  -1280.303588  -1280.305461  -1280.115343
      3.50  -1280.498088  -1280.367937  -1280.349423  -1280.342475  -1280.336344  -1280.333710  -1280.331968  -1280.333710  -1280.115509
      4.00  -1280.526873  -1280.396540  -1280.377087  -1280.371572  -1280.363683  -1280.361150  -1280.359485  -1280.363683  -1280.115527
      4.50  -1280.553738  -1280.422935  -1280.402636  -1280.398525  -1280.389366  -1280.386941  -1280.385820  -1280.389366  -1280.115811
      5.00  -1280.575024  -1280.443458  -1280.422456  -1280.419590  -1280.409661  -1280.407478  -1280.406567  -1280.409661  -1280.116242
      5.50  -1280.585801  -1280.453160  -1280.431680  -1280.429737  -1280.419663  -1280.417562  -1280.416585  -1280.417562  -1280.116496
      6.00  -1280.584862  -1280.450860  -1280.429372  -1280.427561  -1280.418149  -1280.415763  -1280.414879  -1280.415763  -1280.116172
      6.50  -1280.579238  -1280.443672  -1280.422725  -1280.420091  -1280.411964  -1280.409224  -1280.408570  -1280.409224  -1280.115627
      7.00  -1280.578640  -1280.441354  -1280.421244  -1280.417357  -1280.410718  -1280.407831  -1280.407348  -1280.407831  -1280.115535
      7.50  -1280.585865  -1280.446708  -1280.427616  -1280.422323  -1280.417220  -1280.414562  -1280.413967  -1280.414562  -1280.115947
      8.00  -1280.595969  -1280.454770  -1280.436862  -1280.430096  -1280.426605  -1280.424470  -1280.423620  -1280.424470  -1280.116449
      8.50  -1280.602478  -1280.459075  -1280.442500  -1280.434269  -1280.432520  -1280.430989  -1280.429878  -1280.430989  -1280.116491
      9.00  -1280.606020  -1280.460307  -1280.445180  -1280.435920  -1280.435704  -1280.434318  -1280.433194  -1280.434318  -1280.115767
      9.50  -1280.617734  -1280.469720  -1280.456095  -1280.447951  -1280.446641  -1280.444904  -1280.444286  -1280.446641  -1280.114885
     10.00  -1280.642030  -1280.491833  -1280.479701  -1280.472875  -1280.470797  -1280.468738  -1280.466904  -1280.470797  -1280.116063
     10.50  -1280.661329  -1280.509147  -1280.498460  -1280.492938  -1280.490271  -1280.487654  -1280.484609  -1280.490271  -1280.117199
     11.00  -1280.657253  -1280.503350  -1280.494046  -1280.489690  -1280.486678  -1280.483178  -1280.479209  -1280.486678  -1280.117033
     11.50  -1280.629376  -1280.474036  -1280.466087  -1280.462666  -1280.459497  -1280.454895  -1280.450277  -1280.459497  -1280.116081
     12.00  -1280.590177  -1280.433643  -1280.427104  -1280.424391  -1280.420928  -1280.415298  -1280.410233  -1280.420928  -1280.115120
     12.50  -1280.553450  -1280.395884  -1280.390940  -1280.388624  -1280.384478  -1280.378179  -1280.372766  -1280.390940  -1280.114617
     13.00  -1280.526022  -1280.367496  -1280.364592  -1280.361814  -1280.356961  -1280.350346  -1280.344603  -1280.364592  -1280.114617
     13.50  -1280.508383  -1280.348945  -1280.348497  -1280.344237  -1280.338972  -1280.332285  -1280.326248  -1280.348497  -1280.114821
     14.00  -1280.497836  -1280.339665  -1280.337519  -1280.333316  -1280.327899  -1280.321300  -1280.315149  -1280.337519  -1280.114064
     14.50  -1280.492741  -1280.336178  -1280.331707  -1280.327558  -1280.322186  -1280.315827  -1280.309796  -1280.336178  -1280.114041
     15.00  -1280.492914  -1280.337768  -1280.331248  -1280.326846  -1280.321654  -1280.315654  -1280.310006  -1280.337768  -1280.114006
     15.50  -1280.498615  -1280.344606  -1280.336347  -1280.331520  -1280.326570  -1280.321016  -1280.315999  -1280.344606  -1280.114108
     16.00  -1280.508537  -1280.355293  -1280.345715  -1280.340367  -1280.335655  -1280.330619  -1280.326198  -1280.355293  -1280.114436
     16.50  -1280.518521  -1280.365597  -1280.355218  -1280.349319  -1280.344788  -1280.340309  -1280.336152  -1280.365597  -1280.114872
     17.00  -1280.523596  -1280.370526  -1280.359918  -1280.353481  -1280.349069  -1280.345110  -1280.340780  -1280.370526  -1280.115025
     17.50  -1280.523667  -1280.370056  -1280.359750  -1280.352800  -1280.348517  -1280.344915  -1280.340022  -1280.370056  -1280.114555
     18.00  -1280.527153  -1280.372762  -1280.363157  -1280.355706  -1280.351679  -1280.348146  -1280.342436  -1280.372762  -1280.114084
     18.50  -1280.541753  -1280.386476  -1280.377850  -1280.369891  -1280.366321  -1280.362569  -1280.355837  -1280.386476  -1280.114454
     19.00  -1280.563855  -1280.407589  -1280.400217  -1280.391744  -1280.388800  -1280.384703  -1280.377611  -1280.407589  -1280.114904
     19.50  -1280.587184  -1280.429738  -1280.423967  -1280.415005  -1280.412742  -1280.408372  -1280.401584  -1280.429738  -1280.114995
     20.00  -1280.609224  -1280.450358  -1280.446562  -1280.437228  -1280.435501  -1280.431076  -1280.424253  -1280.450358  -1280.115152
