      0.00  -1280.565827  -1280.435369  -1280.419810  -1280.417870  -1280.410068  -1280.407346  -1280.407346  -1280.232905
      0.50  -1280.572496  -1280.442721  -1280.426558  -1280.425711  -1280.416733  -1280.414257  -1280.414257  -1280.232997
      1.00  -1280.582197  -1280.453104  -1280.436682  -1280.436111  -1280.426459  -1280.424232  -1280.424232  -1280.233127
      1.50  -1280.592958  -1280.464523  -1280.448299  -1280.446950  -1280.437276  -1280.435302  -1280.437276  -1280.233298
      2.00  -1280.602257  -1280.474435  -1280.458304  -1280.456233  -1280.446672  -1280.444937  -1280.446672  -1280.233490
      2.50  -1280.607371  -1280.480089  -1280.463888  -1280.461262  -1280.451927  -1280.450406  -1280.451927  -1280.233583
      3.00  -1280.607433  -1280.480590  -1280.464158  -1280.461146  -1280.452174  -1280.450880  -1280.452174  -1280.233426
      3.50  -1280.605260  -1280.478729  -1280.461929  -1280.458675  -1280.450253  -1280.449215  -1280.450253  -1280.233068
      4.00  -1280.606237  -1280.479855  -1280.462588  -1280.459206  -1280.451756  -1280.450565  -1280.450565  -1280.232832
      4.50  -1280.613932  -1280.487505  -1280.469700  -1280.466284  -1280.460354  -1280.458219  -1280.458219  -1280.232934
      5.00  -1280.626883  -1280.500241  -1280.481821  -1280.478465  -1280.474255  -1280.470884  -1280.470884  -1280.233288
      5.50  -1280.639926  -1280.512904  -1280.493804  -1280.490646  -1280.488027  -1280.483475  -1280.483475  -1280.233615
      6.00  -1280.648099  -1280.520548  -1280.500780  -1280.498143  -1280.496296  -1280.491064  -1280.491064  -1280.233703
      6.50  -1280.649799  -1280.521580  -1280.501518  -1280.499368  -1280.497086  -1280.492057  -1280.492057  -1280.233559
      7.00  -1280.646780  -1280.517762  -1280.498272  -1280.495158  -1280.492623  -1280.488202  -1280.488202  -1280.233382
      7.50  -1280.641460  -1280.511500  -1280.493010  -1280.488156  -1280.485609  -1280.481898  -1280.481898  -1280.233320
      8.00  -1280.634833  -1280.503767  -1280.486364  -1280.479695  -1280.477127  -1280.474118  -1280.474118  -1280.233321
      8.50  -1280.626916  -1280.494547  -1280.478241  -1280.469892  -1280.467261  -1280.464846  -1280.464846  -1280.233283
      9.00  -1280.618140  -1280.484232  -1280.469036  -1280.459204  -1280.456521  -1280.454476  -1280.454476  -1280.233173
      9.50  -1280.609827  -1280.474106  -1280.460054  -1280.448940  -1280.446274  -1280.444345  -1280.446274  -1280.233033
     10.00  -1280.603601  -1280.465761  -1280.452917  -1280.440709  -1280.438116  -1280.436165  -1280.438116  -1280.232936
     10.50  -1280.600758  -1280.460532  -1280.448935  -1280.435845  -1280.433438  -1280.431304  -1280.433438  -1280.232888
     11.00  -1280.601792  -1280.458952  -1280.448628  -1280.434887  -1280.433018  -1280.430826  -1280.433018  -1280.232911
     11.50  -1280.606308  -1280.460675  -1280.451632  -1280.437503  -1280.436649  -1280.433762  -1280.436649  -1280.233047
     12.00  -1280.613117  -1280.464566  -1280.456791  -1280.442971  -1280.442482  -1280.438768  -1280.442971  -1280.233332
     12.50  -1280.620393  -1280.468806  -1280.462282  -1280.449737  -1280.448194  -1280.444199  -1280.449737  -1280.233551
     13.00  -1280.625295  -1280.470659  -1280.465306  -1280.454295  -1280.451653  -1280.447410  -1280.454295  -1280.233731
     13.50  -1280.625454  -1280.467807  -1280.463505  -1280.454271  -1280.450505  -1280.446148  -1280.454271  -1280.233746
     14.00  -1280.620993  -1280.460426  -1280.457014  -1280.449815  -1280.444881  -1280.440624  -1280.449815  -1280.233496
     14.50  -1280.615745  -1280.452421  -1280.449695  -1280.444811  -1280.438653  -1280.434743  -1280.444811  -1280.233141
     15.00  -1280.614831  -1280.448999  -1280.446717  -1280.444452  -1280.437014  -1280.433674  -1280.444452  -1280.233015
